planning_unit,policy,reorder_point,order_quantity,safety_stock,days,units_demanded,units_shipped,units_lost,stockout_days,orders_placed,cycles,cycles_with_stockout,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
Nike Women's Legend V-Neck T-Shirt,segmented,8.745681273694993,206.4637603016376,4.955914488728523,250,68.0,68.0,0.0,0,0,0,0,41.88956142451381,116.55913923773105,0.0,116.55913923773105,1.0,0.0,
Nike Women's Legend V-Neck T-Shirt,demand_only,8.435681942045276,206.4637603016376,4.645915157078806,250,68.0,68.0,0.0,0,0,0,0,41.579562092864066,115.69655548100017,0.0,115.69655548100017,1.0,0.0,
Nike Women's Legend V-Neck T-Shirt,flat_baseline,5.684650177449704,206.4637603016376,1.894883392483235,250,68.0,68.0,0.0,0,0,0,0,38.82853032826848,108.04171538259635,0.0,108.04171538259635,1.0,0.0,
Nike Dri-FIT Crew Sock 6 Pack,segmented,9.314497909471978,230.11455902039805,5.171681525906013,250,82.0,82.0,0.0,0,0,0,0,39.935777419671005,97.78794813378346,0.0,97.78794813378346,1.0,0.0,
Nike Dri-FIT Crew Sock 6 Pack,demand_only,8.95834460084983,230.11455902039805,4.815528217283866,250,82.0,82.0,0.0,0,0,0,0,39.57962411104885,96.91586040890387,0.0,96.91586040890387,1.0,0.0,
Nike Dri-FIT Crew Sock 6 Pack,flat_baseline,6.214224575348949,230.11455902039805,2.0714081917829827,250,82.0,82.0,0.0,0,0,0,0,36.83550408554799,90.19652541495483,0.0,90.19652541495483,1.0,0.0,
Glove It Women's Imperial Golf Glove,segmented,9.693920590709904,246.33858962666287,5.380095807822308,250,87.0,87.0,0.0,0,0,0,0,28.29921540404133,62.963330671520254,0.0,62.963330671520254,1.0,0.0,
Glove It Women's Imperial Golf Glove,demand_only,9.322690963919333,246.33858962666287,5.0088661810317365,250,87.0,87.0,0.0,0,0,0,0,27.92798577725076,62.13737654477293,0.0,62.13737654477293,1.0,0.0,
Glove It Women's Imperial Golf Glove,flat_baseline,6.470737174331395,246.33858962666287,2.1569123914437984,250,87.0,87.0,0.0,0,0,0,0,25.076031987662837,55.792023610073684,0.0,55.792023610073684,1.0,0.0,
Top Flite Women's 2014 XL Hybrid,segmented,9.309571809525812,239.4700987434758,5.232952225697251,250,86.0,86.0,0.0,0,1,1,0,175.95488635195775,391.4845529981006,250.0,641.4845529981005,1.0,0.0,1.0
Top Flite Women's 2014 XL Hybrid,demand_only,8.969428058177396,239.4700987434758,4.8928084743488345,250,86.0,86.0,0.0,0,1,1,0,175.61474260060933,390.7277622819543,250.0,640.7277622819543,1.0,0.0,1.0
Top Flite Women's 2014 XL Hybrid,flat_baseline,6.114929375742841,239.4700987434758,2.0383097919142803,250,86.0,86.0,0.0,0,1,1,0,172.76024391817475,384.3767471786211,250.0,634.3767471786211,1.0,0.0,1.0
Hirzl Women's Soffft Flex Golf Glove,segmented,9.440143476390523,252.601397894691,5.3580074925838455,250,77.0,77.0,0.0,0,0,0,0,33.76484242373601,67.60773627296457,0.0,67.60773627296457,1.0,0.0,
Hirzl Women's Soffft Flex Golf Glove,demand_only,9.107541685905872,252.601397894691,5.025405702099194,250,77.0,77.0,0.0,0,0,0,0,33.43224063325135,66.94176384363092,0.0,66.94176384363092,1.0,0.0,
Hirzl Women's Soffft Flex Golf Glove,flat_baseline,6.123203975710016,252.601397894691,2.0410679919033385,250,77.0,77.0,0.0,0,0,0,0,30.44790292305551,60.96618977376508,0.0,60.96618977376508,1.0,0.0,
Glove It Imperial Golf Towel,segmented,9.994274812000754,277.71210109645074,5.6087368293976345,250,70.0,70.0,0.0,0,0,0,0,79.23032536022615,141.0069134908522,0.0,141.0069134908522,1.0,0.0,
Glove It Imperial Golf Towel,demand_only,9.626906596685785,277.71210109645074,5.241368614082666,250,70.0,70.0,0.0,0,0,0,0,78.86295714491114,140.3531050163736,0.0,140.3531050163736,1.0,0.0,
Glove It Imperial Golf Towel,flat_baseline,6.57830697390468,277.71210109645074,2.19276899130156,250,70.0,70.0,0.0,0,0,0,0,75.81435752213007,134.92748520068707,0.0,134.92748520068707,1.0,0.0,
Glove It Urban Brick Golf Towel,segmented,9.244133382442735,264.1044294542482,5.277841798176517,250,93.0,93.0,0.0,0,0,0,0,40.34834810956681,71.80831336381928,0.0,71.80831336381928,1.0,0.0,
Glove It Urban Brick Golf Towel,demand_only,8.925656746333287,264.1044294542482,4.959365162067069,250,93.0,93.0,0.0,0,0,0,0,40.0298714734574,71.24151766693728,0.0,71.24151766693728,1.0,0.0,
Glove It Urban Brick Golf Towel,flat_baseline,5.949437376399327,264.1044294542482,1.983145792133109,250,93.0,93.0,0.0,0,0,0,0,37.053652103523405,65.9447136298715,0.0,65.9447136298715,1.0,0.0,
Hirzl Women's Hybrid Golf Glove,segmented,9.757460595599792,279.8869150445391,5.581545812165122,250,56.0,56.0,0.0,0,0,0,0,81.71291811786934,136.33044614133198,0.0,136.33044614133198,1.0,0.0,
Hirzl Women's Hybrid Golf Glove,demand_only,9.423734612189532,279.8869150445391,5.247819828754864,250,56.0,56.0,0.0,0,0,0,0,81.37919213445905,135.77365520477954,0.0,135.77365520477954,1.0,0.0,
Hirzl Women's Hybrid Golf Glove,flat_baseline,6.263872175152003,279.8869150445391,2.0879573917173344,250,56.0,56.0,0.0,0,0,0,0,78.21932969742154,130.50171698853376,0.0,130.50171698853376,1.0,0.0,
